               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.012342,           0.0049899,          0.00063992,             0.98925,             0.96451,             0.98105,             0.84207,            0.017094,           0.0060205,           0.0021713,             0.00208,             0.00208,             0.00208
                  82,            0.012158,           0.0050649,          0.00075716,             0.98572,             0.96635,              0.9811,             0.84553,            0.016969,           0.0058511,           0.0022414,            0.001981,            0.001981,            0.001981
                  83,            0.012193,           0.0049036,          0.00062612,             0.98735,             0.96161,             0.98365,             0.85174,            0.016905,           0.0057953,           0.0024179,            0.001882,            0.001882,            0.001882
                  84,            0.012093,           0.0049897,           0.0004563,             0.98807,             0.96654,             0.98105,             0.85307,            0.016736,           0.0058189,           0.0024596,            0.001783,            0.001783,            0.001783
                  85,            0.012075,           0.0049623,          0.00062073,             0.99212,             0.96514,             0.98348,             0.85701,            0.016791,           0.0059241,           0.0024472,            0.001684,            0.001684,            0.001684
                  86,            0.011766,            0.004902,          0.00043186,             0.98816,              0.9609,             0.98554,             0.85195,            0.017034,           0.0059406,           0.0019711,            0.001585,            0.001585,            0.001585
                  87,            0.012003,           0.0048369,          0.00059053,             0.98958,             0.96253,             0.98692,             0.85889,            0.016935,           0.0059151,           0.0020451,            0.001486,            0.001486,            0.001486
                  88,            0.011689,           0.0047738,           0.0005291,             0.98756,             0.95527,             0.98464,             0.85463,            0.017041,           0.0059431,           0.0021882,            0.001387,            0.001387,            0.001387
                  89,            0.011835,           0.0048501,          0.00043644,              0.9891,             0.96476,             0.98332,             0.85611,            0.016681,           0.0058525,           0.0020916,            0.001288,            0.001288,            0.001288
                  90,            0.011295,           0.0047413,          0.00060414,             0.99151,             0.96338,             0.98239,             0.85215,            0.016703,           0.0058562,           0.0019667,            0.001189,            0.001189,            0.001189
                  91,            0.011656,           0.0047717,          0.00052374,             0.98807,             0.96369,             0.98232,             0.85631,            0.016799,            0.005859,           0.0019367,             0.00109,             0.00109,             0.00109
                  92,            0.011312,           0.0046935,          0.00046384,             0.99043,             0.96364,             0.98246,             0.85708,            0.016786,           0.0058785,            0.001877,            0.000991,            0.000991,            0.000991
                  93,            0.011203,           0.0046776,          0.00047555,              0.9895,             0.96342,             0.98258,             0.85694,            0.016773,           0.0058936,           0.0020275,            0.000892,            0.000892,            0.000892
                  94,            0.011177,           0.0048932,          0.00044802,             0.99193,              0.9631,             0.98315,             0.85422,            0.016688,           0.0058445,           0.0021132,            0.000793,            0.000793,            0.000793
                  95,            0.011221,           0.0047156,           0.0005927,             0.99252,             0.96025,             0.98159,             0.85729,            0.016688,           0.0058852,           0.0021466,            0.000694,            0.000694,            0.000694
                  96,            0.010943,           0.0044752,          0.00036518,              0.9902,             0.96215,             0.98204,             0.85773,            0.016712,           0.0059626,           0.0021525,            0.000595,            0.000595,            0.000595
                  97,            0.011009,           0.0047946,          0.00050622,             0.98944,             0.96305,             0.98276,             0.85696,            0.016685,           0.0059568,           0.0021921,            0.000496,            0.000496,            0.000496
                  98,            0.010703,           0.0046622,          0.00036372,              0.9886,             0.96118,             0.98202,             0.85782,            0.016761,           0.0059618,           0.0021907,            0.000397,            0.000397,            0.000397
                  99,            0.010694,           0.0045451,          0.00030399,             0.98888,             0.96115,             0.98388,             0.86002,            0.016635,           0.0059078,           0.0021968,            0.000298,            0.000298,            0.000298
